language,repo,Declare in docs?,Only provide link?,integrate with automatic tools? （determined by keyword）
Go,https://github.com/go-kratos/kratos,1,0,0
Go,https://github.com/charmbracelet/bubbletea,1,1,0
Go,https://github.com/ory/hydra,1,1,1
Go,https://github.com/GoogleContainerTools/skaffold,1,1,0
Go,https://github.com/argoproj/argo-workflows,1,1,1
Go,https://github.com/influxdata/telegraf,1,1,0
Go,https://github.com/JanDeDobbeleer/oh-my-posh,1,0,1
Go,https://github.com/1Panel-dev/1Panel,1,1,0
Go,https://github.com/goreleaser/goreleaser,1,1,0
Go,https://github.com/openimsdk/open-im-server,1,0,1
Go,https://github.com/twpayne/chezmoi,1,0,0
Go,https://github.com/infracost/infracost,1,0,1
Go,https://github.com/dagger/dagger,1,0,0
Go,https://github.com/kubescape/kubescape,1,0,1
Go,https://github.com/go-task/task,1,1,0
Go,https://github.com/hybridgroup/gobot,1,0,0
Go,https://github.com/codenotary/immudb,1,1,0
Go,https://github.com/aquasecurity/tfsec,1,1,0
Go,https://github.com/chaos-mesh/chaos-mesh,1,0,0
JavaScript,https://github.com/angular-ui/ui-grid,1,1,0
JavaScript,https://github.com/vincentriemer/react-native-dom,1,1,1
JavaScript,https://github.com/alibaba/beidou,1,1,0
JavaScript,https://github.com/RisingStack/react-easy-state,1,1,0
JavaScript,https://github.com/vuegg/vuegg,1,0,1
Python,https://github.com/Flagsmith/flagsmith,1,0,1
Python,https://github.com/ibis-project/ibis,1,0,1
Python,https://github.com/lidatong/dataclasses-json,1,1,0
Rust,https://github.com/denoland/deno,0,0,1
Rust,https://github.com/rust-lang/rustlings,1,0,0
Rust,https://github.com/swc-project/swc,0,0,1
Rust,https://github.com/influxdata/influxdb,1,1,0
Rust,https://github.com/pola-rs/polars,1,1,1
Rust,https://github.com/sunface/rust-course,1,0,0
Rust,https://github.com/cube-js/cube,1,0,1
Rust,https://github.com/vectordotdev/vector,1,0,1
Rust,https://github.com/DioxusLabs/dioxus,1,1,0
Rust,https://github.com/zellij-org/zellij,1,1,0
Rust,https://github.com/clap-rs/clap,1,1,1
Rust,https://github.com/quickwit-oss/tantivy,0,0,1
Rust,https://github.com/PRQL/prql,1,1,0
Rust,https://github.com/juspay/hyperswitch,0,0,1
Rust,https://github.com/o2sh/onefetch,1,1,0
Rust,https://github.com/Byron/gitoxide,1,0,0
Rust,https://github.com/orhun/git-cliff,1,1,1
Rust,https://github.com/aptos-labs/aptos-core,1,1,0
Rust,https://github.com/napi-rs/napi-rs,1,1,0
Rust,https://github.com/shuttle-hq/shuttle,0,0,1
Rust,https://github.com/ratatui-org/ratatui,1,1,1
Rust,https://github.com/biomejs/biome,1,0,0
Rust,https://github.com/libp2p/rust-libp2p,1,1,0
Rust,https://github.com/eza-community/eza,1,0,1
Rust,https://github.com/GreptimeTeam/greptimedb,1,1,1
Rust,https://github.com/alibaba/GraphScope,1,0,1
Rust,https://github.com/tokio-rs/console,0,0,1
Rust,https://github.com/stacks-network/stacks-core,1,0,0
Rust,https://github.com/lancedb/lance,0,0,1
Rust,https://github.com/Byron/dua-cli,1,1,0
Rust,https://github.com/erg-lang/erg,1,0,0
Java,https://github.com/dataease/dataease,1,1,0
Java,https://github.com/supertokens/supertokens-core,1,1,0
Java,https://github.com/metersphere/metersphere,1,1,1
Java,https://github.com/alibaba/fastjson2,1,1,0
Java,https://github.com/camunda/zeebe,1,1,1
Java,https://github.com/xerial/sqlite-jdbc,1,1,1
C++,https://github.com/electron/electron,1,0,0
C++,https://github.com/mudler/LocalAI,1,1,0
C++,https://github.com/azerothcore/azerothcore-wotlk,1,1,1
C++,https://github.com/mrousavy/react-native-mmkv,1,0,1
TypeScript,https://github.com/apache/superset,1,1,0
TypeScript,https://github.com/ionic-team/ionic-framework,1,0,1
TypeScript,https://github.com/nuxt/nuxt,1,0,0
TypeScript,https://github.com/nocodb/nocodb,1,0,0
TypeScript,https://github.com/pmndrs/react-spring,1,1,1
TypeScript,https://github.com/pmndrs/react-three-fiber,1,1,0
TypeScript,https://github.com/react-navigation/react-navigation,1,0,1
TypeScript,https://github.com/calcom/cal.com,1,1,0
TypeScript,https://github.com/doczjs/docz,1,1,1
TypeScript,https://github.com/element-plus/element-plus,1,0,1
TypeScript,https://github.com/kriasoft/react-starter-kit,1,1,0
TypeScript,https://github.com/ueberdosis/tiptap,1,0,1
TypeScript,https://github.com/medusajs/medusa,1,1,0
TypeScript,https://github.com/nrwl/nx,1,0,1
TypeScript,https://github.com/alibaba/lowcode-engine,1,0,1
TypeScript,https://github.com/monkeytypegame/monkeytype,1,0,1
TypeScript,https://github.com/crimx/ext-saladict,1,1,1
TypeScript,https://github.com/danilowoz/react-content-loader,1,1,1
TypeScript,https://github.com/lensapp/lens,1,1,0
TypeScript,https://github.com/aidenybai/million,1,0,0
TypeScript,https://github.com/rolling-scopes/rsschool-app,1,0,0
TypeScript,https://github.com/apify/crawlee,1,1,1
TypeScript,https://github.com/benawad/dogehouse,1,1,1
TypeScript,https://github.com/callstack/react-native-paper,1,0,1
TypeScript,https://github.com/snabbdom/snabbdom,1,1,1
TypeScript,https://github.com/mikro-orm/mikro-orm,1,1,1
TypeScript,https://github.com/Nutlope/aicommits,1,0,1
TypeScript,https://github.com/dinerojs/dinero.js,1,0,0
TypeScript,https://github.com/dendronhq/dendron,1,1,1
TypeScript,https://github.com/penrose/penrose,1,1,0
TypeScript,https://github.com/tsparticles/tsparticles,1,1,1
TypeScript,https://github.com/didi/LogicFlow,1,1,1
TypeScript,https://github.com/oclif/oclif,1,0,1
TypeScript,https://github.com/graphql/graphql-playground,1,1,1
TypeScript,https://github.com/rematch/rematch,1,1,1
TypeScript,https://github.com/openreplay/openreplay,1,0,1
TypeScript,https://github.com/kelektiv/node-cron,1,1,1
TypeScript,https://github.com/logto-io/logto,1,1,1
TypeScript,https://github.com/linkedin/css-blocks,1,1,1
TypeScript,https://github.com/shikijs/shiki,1,1,0
TypeScript,https://github.com/millsp/ts-toolbelt,1,1,1
TypeScript,https://github.com/nteract/nteract,1,1,1
TypeScript,https://github.com/naver/billboard.js,1,0,1
TypeScript,https://github.com/jef/streetmerchant,1,1,1
TypeScript,https://github.com/vendure-ecommerce/vendure,1,0,1
TypeScript,https://github.com/lingui/js-lingui,1,1,0
TypeScript,https://github.com/kriasoft/relay-starter-kit,1,1,1
TypeScript,https://github.com/chakra-ui/panda,1,0,0